gene
A1BG
A1BG-AS1
AAMP
AANAT
AARSD1
AATF
AATK
ABCA11P
ABCA17P
ABCA3
ABCB4
ABCB6
ABCC5
ABCC8
ABCD3
ABCE1
ABCF3
ABHD10
ABHD14A
ABHD14A-ACY1
ABHD14B
ABHD15
ABHD18
ABHD3
ABHD5
ABHD6
ABI1
ABI2
ABITRAM
ABLIM2
ABRAXAS1
ACAD9
ACAD9-DT
ACAN
ACAT2
ACD
ACHE
ACLY
ACO2
ACOT13
ACP1
ACSF2
ACSL4
ACTA1
ACTB
ACTG1
ACTN3
ACTN4
ACTR8
ACVR1B
ACVR2A
ACYP1
ADAD1
ADAD2
ADAL
ADAM10
ADAM9
ADAMTS14
ADAMTS17
ADAMTS20
ADAR
ADCK2
ADCK5
ADCY1
ADCY3
ADCY4
ADCY9
ADGRB2
ADGRB3
ADGRB3-DT
ADGRD2
ADGRF3
ADNP-AS1
ADORA2B
ADRA1A
ADRA1D
ADRA2A
ADRA2C
ADRB2
ADSS1
AEBP2
AFAP1L1
AFF3
AFG2B
AFG3L1P
AFG3L2
AFG3L2P1
AFTPH
AFTPH-DT
AGAP1
AGAP2
AGO1
AGPAT1
AGPS
AHDC1
AHI1
AHI1-DT
AHSA2P
AIDA
AIG1
AK5
AKAP1
AKAP1-DT
AKAP13
AKAP17A
AKAP3
AKAP5
AKAP8
AKIP1
AKIRIN2
AKR7A2
AKT1
AKT1S1
AKT2
ALAS1
ALDH1A3
ALDH5A1
ALG1
ALG11
ALG5
ALG6
ALK
ALKAL2
ALKBH4
ALKBH5
ALOX12B
ALYREF
AMER3
AMIGO1
AMMECR1
AMZ2
AMZ2P1
ANAPC1
ANAPC10
ANAPC11
ANAPC13
ANAPC2
ANAPC7
ANGPTL6
ANHX
ANKRD11
ANKRD13C
ANKRD13C-DT
ANKRD13D
ANKRD18CP
ANKRD18DP
ANKRD19P
ANKRD24
ANKRD26
ANKRD26P1
ANKRD27
ANKRD29
ANKRD30A
ANKRD30BL
ANKRD30BP2
ANKRD31
ANKRD37
ANKRD7
ANKS1B
ANKZF1
ANLN
ANO10
ANTKMT
AOPEP
AP1M1
AP1M2
AP1S1
AP1S2
AP2A2
AP2M1
AP3B1
AP5S1
APBA1
APBB2
APBB3
APC
APC2
APEX2
APLF
APLP1
APOA1-AS
APOM
APPL2
APRT
ARAF
ARAP1
ARF1
ARF4
ARF4-AS1
ARFGAP3
ARHGAP12
ARHGAP23
ARHGAP28
ARHGAP29-AS1
ARHGAP32
ARHGAP35
ARHGAP39
ARHGAP42
ARHGAP5
ARHGAP5-AS1
ARHGDIA
ARHGEF10
ARHGEF12
ARHGEF18
ARHGEF18-AS1
ARHGEF26
ARHGEF26-AS1
ARHGEF33
ARHGEF35
ARHGEF35-AS1
ARHGEF39
ARHGEF4
ARHGEF5
ARID1B
ARID4A
ARK2C
ARL10
ARL16
ARL2BP
ARL5A
ARL6IP6
ARMC2
ARMC3
ARMC5
ARMC6
ARMC7
ARMC8
ARMH4
ARPC1A
ARPC2
ARPC5
ARRB2
ARRDC1-AS1
ARRDC3
ARRDC3-AS1
ARSG
ARSJ
ARSK
ARV1
ASAH2B
ASB18
ASB3
ASB8
ASCC1
ASDURF
ASH1L
ASIC1
ASNSD1
ASRGL1
ASTN2
ASXL1
ASXL2
ASZ1
ATAD2
ATAD3A
ATF6B
ATG16L2
ATG4B
ATG7
ATG9A
ATM
ATP11A
ATP13A1
ATP13A2
ATP13A3-DT
ATP13A4
ATP1A3
ATP2B1
ATP2B2
ATP2C1
ATP5F1C
ATP5F1D
ATP5MC3
ATP5ME
ATP5MG
ATP5MJ
ATP5PO
ATP6V0D1
ATP6V0D1-DT
ATP6V0E2
ATP6V0E2-AS1
ATP6V1B2
ATP6V1D
ATP6V1E2
ATP6V1G1
ATP7B
ATP8A1
ATP8A1-DT
ATP8B1
ATP9A
ATP9B
ATPAF1
ATPAF2
ATPSCKMT
ATRN
ATRNL1
ATXN2
ATXN2-AS
ATXN2L
ATXN7L2
ATXN7L3
ATXN7L3B
AUH
AURKA
AUTS2
AXDND1
AZIN1
B3GALT6
B3GAT1
B3GNTL1
B4GALNT3
B4GALT2
B4GALT5
B4GALT7
B9D1
BABAM2
BACH2
BAG1
BAG3
BAG4
BAG6
BANP
BAP1
BARX1-DT
BBOF1
BCAR1
BCAT2
BCCIP
BCDIN3D-AS1
BCKDHA
BCKDK
BCL11B
BCL2L12
BCL7A
BCL7B
BCLAF3
BDH1
BEND3
BEND6
BHLHE23
BHMT2
BICRA
BICRA-AS2
BID
BIRC8
BLMH
BLOC1S2
BLOC1S5
BLOC1S5-TXNDC5
BMP2
BMP2K
BMP2K-DT
BMP7
BMPR1A
BMPR2
BMS1P1
BMS1P4
BMS1P4-AGAP5
BMT2
BNC2
BNIP2
BNIP3
BNIP3L
BOC
BOD1L1
BOLA2P3
BOP1
BORCS8
BPHL
BPNT1
BRD10
BRD2
BRD3
BRD4
BRF1
BRK1
BRME1
BROX
BRSK1
BSG
BSG-AS1
BSN
BSN-DT
BSPRY
BTAF1
BTBD3
BTBD6
BTBD6P1
BTBD7
BTBD9
BTD
BTF3
BTNL9
BUB3
BVES
BVES-AS1
BYSL
C10orf88
C10orf88B
C12orf4
C14orf28
C15orf40
C15orf48
C15orf61
C16orf87
C17orf58
C18orf54
C19orf47
C1QBP
C1QTNF1
C1orf131
C1orf21
C1orf21-DT
C1orf220
C1orf35
C1orf56
C2
C21orf58
C21orf62-AS1
C22orf23
C2CD3
C2CD4C
C2CD5
C2CD5-AS1
C2CD6
C2orf15
C2orf42
C2orf73
C2orf81
C3orf80
C3orf85
C4orf3
C4orf46
C5orf24
C6orf136
C7orf57
C8G
C8orf44
C8orf44-SGK3
C8orf48
CA5BP1
CA9
CABIN1
CABLES1
CABLES2
CABP1
CACNA1C
CACNA2D1
CACNB4
CACNG4
CACUL1
CADM1
CADPS2
CAHM
CALB1
CALB2
CALHM6
CALM3
CALN1
CALY
CAMK2B
CAMSAP1
CAMSAP1-DT
CAMSAP3
CAND2
CANT1
CANX
CAPG
CAPN15
CAPNS1
CAPRIN1
CAPS2
CAPZA1
CAPZA2
CARF
CARMIL2
CARMIL3
CARNMT1-AS1
CARS2
CASK
CASKIN2
CASP2
CASTOR2
CASTOR3P
CASZ1
CATSPER2
CATSPER2P1
CATSPERD
CATSPERE
CBFB
CBLL1
CBLL1-AS1
CBLN1
CBLN2
CBR1
CBR4
CBX1
CBX2
CBX3P2
CBX5
CBX6
CBX7
CBY1
CC2D1A
CC2D1B
CCAR1
CCDC102B
CCDC106
CCDC107
CCDC12
CCDC120
CCDC127
CCDC144NL
CCDC160
CCDC171
CCDC178
CCDC18
CCDC181
CCDC47
CCDC83
CCDC86
CCDC87
CCDC88C
CCDC88C-DT
CCDC90B
CCDC90B-AS1
CCDC92
CCDC93
CCDC96
CCHCR1
CCN1
CCN5
CCNB1
CCND1
CCND3
CCNE2
CCNF
CCNH
CCNI
CCNJL
CCNK
CCNP
CCNQ
CCNT2
CCNT2-AS1
CCS
CCSER2
CCT3
CCT5
CD109-AS1
CD247
CD248
CD27-AS1
CD320
CD47
CD83
CD99
CD99L2
CDAN1
CDC14A
CDC14B
CDC25B
CDC25C
CDC34
CDC37
CDC42
CDC42BPB
CDC42EP3
CDC42EP4
CDC45
CDC5L
CDC6
CDC7
CDC73
CDCA4
CDH4
CDK1
CDK10
CDK11A
CDK11B
CDK16
CDK17
CDK19
CDK2AP2
CDK5R1
CDKN2A
CDKN2B-AS1
CDKN2C
CDNF
CDON
CDS2
CDT1
CDV3
CEBPA-DT
CEBPB-AS1
CEBPZOS
CELF4
CENATAC-DT
CENPA
CENPBD1P
CENPF
CENPN
CENPO
CENPT
CENPU
CEP104
CEP120
CEP15
CEP170
CEP19
CEP192
CEP192-DT
CEP20
CEP250
CEP295
CEP41
CEP44
CEP55
CEP63
CEP72
CEP72-DT
CERKL
CFAP119
CFAP206
CFAP20DC
CFAP20DC-DT
CFAP210
CFAP221
CFAP418
CFAP44
CFAP46
CFAP52
CFAP70
CFAP99
CFL1
CHAC2
CHASERR
CHCHD4
CHD1
CHD1-DT
CHD1L
CHD2
CHD3
CHD4
CHD7
CHD9
CHEK2P2
CHERP
CHFR
CHID1
CHKB
CHKB-CPT1B
CHKB-DT
CHML
CHMP1A
CHMP2A
CHMP2B
CHMP3
CHMP5
CHMP7
CHN1
CHORDC1
CHRAC1
CHRDL1
CHRDL2
CHRNE
CHST12
CHTF18
CHTF8
CIC
CIMAP3
CIPC
CIRBP
CISD1
CISD2
CITED1
CKAP2
CKAP2-DT
CKLF
CKLF-CMTM1
CKS1B
CKS2
CLASP1
CLASRP
CLCN5
CLDN16
CLEC2L
CLGN
CLIC1
CLIC4
CLIP3
CLIP4
CLK1
CLMN
CLN5
CLN8
CLN8-AS1
CLOCK
CLPTM1L
CLPX
CLSTN1
CLTCL1
CLVS2
CMC1
CMC2
CMIP
CMTM3
CMTR1
CMTR2
CNIH1
CNIH2
CNKSR2
CNOT1
CNOT4
CNOT6L
CNOT8
CNOT9
CNP
CNPPD1
CNPY4
CNTFR
CNTLN
CNTNAP1
CNTROB
COA4
COG1
COG2
COG6
COL19A1
COL25A1
COL25A1-DT
COL4A1
COL9A3
COMMD3
COMMD3-BMI1
COMMD8
COP1
COP1-DT
COPB1
COPB2
COPB2-DT
COPG1
COQ10B
COQ8A
COQ8B
CORO6
CORO7
COX17
COX18
COX6C
COX7A2L
COX8C
CPEB2
CPEB2-DT
CPED1
CPLANE1
CPM
CPNE1
CPNE4
CPNE7
CPSF1
CPSF3
CPSF4
CPT1B
CPTP
CRACDL
CRACR2B
CRAMP1
CRAT
CRELD2
CREM
CRIP1
CRIP2
CRIPT
CRISPLD2
CRK
CRKL
CRMP1
CRNDE
CRPPA
CRTAC1
CRTC1
CRY1
CRYBG1
CSK
CSNK1G2
CSNK2A2
CSTF1
CT62
CT66
CT70
CT75
CTAG1A
CTAG1B
CTAG2
CTBP1
CTBP1-DT
CTBP2
CTCFL
CTD-2194D22.4
CTDNEP1
CTDSPL2
CTDSPL2-DT
CTIF
CTNNA2
CTNNA3
CTPS1
CTR9
CTSC
CTSD
CTSF
CTSL
CTU1
CTXN2
CTXN2-AS1
CUL2
CUX2
CXCR4
CXorf38
CYB561D2
CYB5D2
CYP1B1
CYP2E1
CYP2R1
CYP2S1
CYP2W1
CYRIB
CYTH1
D2HGDH
DAB1
DACT1
DAD1
DAG1
DAGLA
DAGLB
DAP3
DAPK1
DAPK3
DARS1-AS1
DAW1
DAZAP1
DAZAP2
DBNDD2
DBP
DBX2-AS1
DCAF1
DCAF4L2
DCAF6
DCAF8
DCLK2
DCPS
DCTN1
DCTN4
DCTN5
DCTN6-DT
DCTPP1
DCUN1D2
DCUN1D4
DCXR
DDIT3
DDR1
DDX10
DDX11
DDX11-AS1
DDX25
DDX39A
DDX39B
DDX39B-AS1
DDX3X
DDX42
DDX51
DDX52
DECR2
DEDD2
DEGS1
DEK
DENND2B
DENND3
DENND3-AS1
DENND4C
